model,descriptor_version,trials,successful_trials,failed_trials,success_rate,input_tokens,output_tokens,total_tokens,fallback_count,fallback_rate,input_price_usd_per_million,output_price_usd_per_million,computed_cost_usd,provider_reported_cost_usd,price_source,price_date,freeze_sha,notes
openai/gpt-5.4,v1,58,20,38,0.344827586207,234496,9653,244149,38,0.655172413793,2.50,15.00,0.731030,0.731035,https://openrouter.ai/openai/gpt-5.4,2026-09-15,e36bb1b2fcad625ed944e7df863165d95c0ef53f,API-reported tokens; controlled descriptor baseline; fallback means failed code-check trial requiring human handling
openai/gpt-5.4,v2,58,25,33,0.431034482759,287085,10898,297983,33,0.568965517241,2.50,15.00,0.881178,0.881183,https://openrouter.ai/openai/gpt-5.4,2026-09-15,e36bb1b2fcad625ed944e7df863165d95c0ef53f,API-reported tokens; final same-freeze descriptor control; fallback means failed code-check trial requiring human handling
