file,model,prompt_version,descriptor_version,freeze_sha,cases,negative_cases,trials,code_passed,code_pass_rate,negative_trials,negative_passed,negative_code_pass_rate,median_turns,worst_case_turns,tokens_in,tokens_out,cost_usd,provider_reported_cost_usd,error_trials,judgement_pending,judgement_passed,judgement_total,judgement_status,compatible,issues
fan_yupei_openai_gpt-5.4_v1.json,openai/gpt-5.4,v2,v1,e36bb1b2fcad625ed944e7df863165d95c0ef53f,30,14,58,20,0.3448275862068966,42,20,0.47619047619047616,2.0,3,234496,9653,0.73103,0.731035,28,3,0,3,complete,True,
fan_yupei_openai_gpt-5.4_v2.json,openai/gpt-5.4,v2,v2,e36bb1b2fcad625ed944e7df863165d95c0ef53f,30,14,58,25,0.43103448275862066,42,21,0.5,2.0,5,287085,10898,0.881178,0.8811825,22,3,0,3,complete,True,
