model_label,model_id,source_file,trials,successful_tasks,success_rate,fallback_rate,negative_passed,negative_trials,input_tokens,output_tokens,error_trials,judgement_pending,input_price_per_m,output_price_per_m,harness_summary_cost_usd,exact_price_book_cost_usd,provider_reported_cost_usd,provider_minus_exact_price_book_usd,freeze_sha,prompt_version,descriptor_version,tool_version,token_measurement,price_source,price_date
OpenAI GPT-5.4,openai/gpt-5.4,results.json,58,25,0.43103448275862066,0.5689655172413793,21,42,287085,10898,22,3,2.5,15.0,0.881178,0.8811825,0.8811825,0.0,e36bb1b2fcad625ed944e7df863165d95c0ef53f,v2,v2,main-tool-contract,api_reported,https://openrouter.ai/openai/gpt-5.4,2026-09-15
Moonshot Kimi K2.6,moonshotai/kimi-k2.6,yang_ruijia_moonshotai_kimi-k2.6_v2.json,58,15,0.25862068965517243,0.7413793103448276,15,42,263325,52112,31,3,0.58,3.4,0.32990800000000015,0.32990929999999996,0.24100017000000004,-0.08890912999999992,e36bb1b2fcad625ed944e7df863165d95c0ef53f,v2,v2,main-tool-contract,api_reported,https://openrouter.ai/moonshotai/kimi-k2.6,2026-09-16
Anthropic Claude Sonnet 4.6,anthropic/claude-sonnet-4.6,hao_qi_anthropic_claude-sonnet-4.6_v2.json,58,10,0.1724137931034483,0.8275862068965517,10,42,233897,13221,48,3,3.0,15.0,0.900006,0.900006,0.900006,0.0,e36bb1b2fcad625ed944e7df863165d95c0ef53f,v2,v2,main-tool-contract,api_reported,https://openrouter.ai/anthropic/claude-sonnet-4.6/pricing,2026-09-16
DeepSeek V4 Pro,deepseek/deepseek-v4-pro,live_deepseek_v4_v2_liuxuanlin.json,58,4,0.06896551724137931,0.9310344827586207,4,42,196625,24437,50,3,0.87,1.74,0.213584,0.21358412999999998,0.17864116,-0.03494296999999999,e36bb1b2fcad625ed944e7df863165d95c0ef53f,v2,v2,main-tool-contract,api_reported,https://openrouter.ai/deepseek/deepseek-v4-pro/api,2026-09-17
Google Gemini 3.7 Flash,google/gemini-3.7-flash,wang_chenyu_google_gemini-3.7-flash_v2.json,58,6,0.10344827586206896,0.896551724137931,4,42,132992,17498,49,3,0.75,3.75,0.165363,0.1653615,0.1653615,0.0,e36bb1b2fcad625ed944e7df863165d95c0ef53f,v2,v2,main-tool-contract,api_reported,https://openrouter.ai/google/gemini-3.7-flash,2026-09-17
